"name"	"label"	"gender"	"churchperson"	"middle_class"	"kinship_id"	"cathar_aff"	"apostle_aff"	"other_heterodoxy_aff"	"deponent"	"redeponent"	"ever_summoned"	"ever_pledged"	"ever_incarcerated"	"ever_tortured"	"inq_FV"	"inq_GV"	"inq_GP"	"inq_BdF"	"non_id_aff"
"P0406"	"Bondominicus Benintendi"	1	0	0	388	0	0	1	0	0	0	0	0	0	0	1	0	0	0
"P0409"	"Bonfiglolus Ferarixii de terra S. Martini in Argele"	1	0	0	68	0	0	1	1	0	1	0	0	0	0	1	0	0	0
"P0410"	"Bonifacinus del Cigna de Verona"	1	0	0	391	1	0	0	0	0	0	0	0	0	1	0	0	0	0
"P0414"	"Bonifacius"	1	1	0	395	0	0	0	1	0	0	0	0	0	0	1	0	0	1
"P0415"	"Bonifacius Henrigucii de Galluciis"	1	1	0	396	0	0	0	1	0	1	0	0	0	0	0	1	0	1
"P0417"	"Bonigrinus de Cisano de Verona"	1	0	0	367	1	0	0	1	1	1	1	0	0	1	1	0	0	0
"P0420"	"Boninsegna de Montebellio"	1	0	0	400	0	1	0	1	0	1	0	0	0	0	0	1	0	0
"P0424"	"Bonmeglore dominus de Cuppa"	1	0	0	404	1	0	0	0	0	0	0	0	0	1	0	0	0	0
"P0425"	"Bonmeiore Alberti de Arichalcho"	1	0	0	405	0	0	0	1	0	1	0	0	0	0	1	0	0	1
"P0428"	"Bonus"	1	1	0	408	0	0	1	1	0	1	0	0	0	0	1	0	0	0
"P0430"	"Bonus de Bonacis"	1	0	0	410	0	1	0	0	0	0	0	0	0	0	0	1	0	0
"P0431"	"Bonus de Florentia"	1	0	1	411	0	0	1	1	0	1	1	0	0	0	0	1	0	0
"P0433"	"Bonvixina de Ollis"	0	0	0	46	0	1	0	0	0	0	0	0	0	0	0	1	0	0
"P0434"	"Bonvixina de Ponçano de Monçorgio"	0	0	0	413	0	1	0	1	0	1	1	0	0	0	0	1	0	0
"P0437"	"Borgha Hettoli"	0	1	0	416	0	0	1	1	0	0	0	0	0	0	1	0	0	0
"P0440"	"Boxius de Gaçolo"	1	0	0	419	1	0	0	0	0	0	0	0	0	1	0	0	0	0
"P0446"	"Brigata de Truglonibus"	0	0	0	425	0	1	0	0	0	0	0	0	0	0	0	1	0	0
"P0448"	"Brunellus Ubertini Brune de S. Helena"	1	0	0	214	0	1	0	0	0	0	0	0	0	0	1	0	0	0
"P0449"	"Brunetta"	0	0	0	427	1	0	0	0	0	0	0	0	0	0	1	0	0	0
"P0450"	"Brunettus Henrigipti Basenghi de Plumatio"	1	0	0	428	0	0	0	1	0	1	0	0	0	0	0	1	0	1
"P0452"	"Brunettus de Ferro de Florencia"	1	0	0	430	0	0	0	1	0	0	0	0	0	0	1	0	0	1
"P0455"	"Brunus de Tuscia"	1	0	0	433	1	0	0	0	0	0	0	0	0	1	0	0	0	0
"P0457"	"Burghisinus de Mantua"	1	0	0	435	1	0	0	0	0	0	0	0	0	1	0	0	0	0
"P0459"	"Buvalellus de Buvalellis"	1	0	0	437	1	0	0	0	0	0	0	0	0	0	1	0	0	0
"P0461"	"Cambius Laçari de burgo Galerie"	1	1	0	439	0	0	0	1	0	0	0	0	0	0	1	0	0	1
"P0464"	"Carnelvaris de Sighicis de Fredo"	1	0	0	442	0	1	0	0	0	0	0	0	0	0	0	1	0	0
"P0465"	"Catania Iohannis"	0	0	0	261	0	1	0	0	0	0	0	0	0	0	0	1	0	0
"P0470"	"Cecilia de Florentia"	0	0	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0
"P0475"	"Chabriel de terra S. Martini in Arçele"	1	0	0	451	0	0	1	0	0	0	0	0	0	0	1	0	0	0
"P0478"	"Chaltinus de terra S. Martini"	1	0	0	454	0	0	1	0	0	0	0	0	0	0	1	0	0	0
"P0479"	"Chara de Sellis de Mutina"	0	0	0	455	0	1	0	0	0	0	0	0	0	0	1	1	0	0
"P0488"	"Clerighinus de Bochadeferris de Plumatio"	1	0	0	464	0	0	0	0	0	0	0	0	0	0	0	1	0	1
"P0489"	"Clerighinus Clerici"	1	0	0	77	0	1	0	0	0	0	0	0	0	0	0	1	0	0
"P0492"	"Constantinus"	1	0	1	114	1	0	0	0	0	0	0	0	0	1	1	0	0	0
"P0496"	"Contessa Iohannis Constantini"	0	0	1	114	1	0	0	1	1	1	0	0	0	0	1	0	0	0
"P0498"	"Contessa de Prato"	0	0	0	470	1	0	0	0	0	0	0	0	0	0	1	0	0	0
"P0500"	"Controlus de la Mane de Plumatio"	1	0	0	259	0	0	0	0	0	0	0	0	0	0	0	1	0	1
"P0502"	"Coradinus de Parma"	1	1	0	473	0	0	0	1	0	1	0	0	0	0	1	0	0	1
"P0504"	"Corbellus Clerici de Montebellio"	1	0	0	77	0	1	0	1	0	1	0	0	0	0	0	1	0	0
"P0505"	"Corbicinus Benvenuti de Gaglano"	1	0	0	475	0	0	0	1	0	0	0	0	0	0	1	0	0	1
"P0506"	"Cortexe Ravignani"	0	0	0	476	0	0	1	0	0	1	1	0	0	0	1	0	0	0
"P0507"	"Corvolus Gualbertucii"	1	1	0	477	0	1	0	1	1	1	0	0	0	0	1	1	0	0
"P0512"	"Damianus Benvenuti de Blanchis de S. Helena"	1	0	0	261	0	1	0	1	1	1	1	0	0	0	1	1	0	0
"P0518"	"Deolay de Balugola"	1	0	0	486	0	1	0	0	0	0	0	0	0	0	1	1	0	0
"P0521"	"Deotesalvi Recupri"	1	0	0	489	0	0	0	1	0	1	0	0	0	0	1	0	0	1
"P0531"	"Dinus de Floranis"	1	0	1	499	0	0	0	0	0	0	0	0	0	0	0	1	0	1
"P0534"	"Divicia Alexandri Bochaderospo"	0	0	0	81	1	0	0	0	0	0	0	0	0	0	1	0	0	0
"P0538"	"Doctinus"	1	1	0	505	0	1	0	0	0	0	0	0	0	0	0	0	1	0
"P0539"	"Dolcebona de Feraria"	0	0	1	114	1	0	0	0	0	0	0	0	0	0	1	0	0	0
"P0540"	"Dolcinus de Novaria"	1	0	0	506	0	1	0	0	0	0	0	0	0	0	1	1	1	0
